;Mph;Wh;Dh;Lh;Gfh;Gah;Gdiffh;Ptsh;Pts/mph;xGDiffh;xGDiff/90h;Mpa;Wa;Da;La;Gfa;Gaa;Gdiffa;Ptsa;Pts/mpa;xGDiffa;xGDiff/90a;Valoarelot;Save%;Cs%
Alavés;28;9;10;9;27;28;0,964285714;37;1,321428571;-2.4;-0.26;28;5;5;18;23;54;0,425925926;20;0,714285714;-2.7;-0.30;71.50;.707;22.20
Athletic Bilbao;28;14;4;10;34;22;1,545454545;46;1,642857143;+4.8;+0.54;28;5;11;12;28;38;0,736842105;26;0,928571429;-1.3;-0.14;215.10;.612;22.20
Atlético Madrid;28;20;7;1;49;13;3,769230769;67;2,392857143;+4.8;+0.54;26;11;11;4;33;20;1,65;44;1,692307692;+4.9;+0.70;770.20;.870;68.80
Barcelona;28;21;5;2;73;26;2,807692308;68;2,428571429;+11.1;+1.23;28;14;6;8;50;29;1,724137931;48;1,714285714;+7.7;+0.86;808.50;.776;38.90
Betis;27;12;6;9;44;38;1,157894737;42;1,555555556;-1.3;-0.16;29;5;7;17;26;53;0,490566038;22;0,75862069;-1.8;-0.18;202.10;.581;33.30
Cádiz;9;2;3;4;7;11;0,636363636;9;1;-1.6;-0.18;9;4;2;3;8;11;0,727272727;14;1,555555556;-0.1;-0.01;39;.672;33.30
Celta Vigo;28;10;8;10;36;36;1;38;1,357142857;+3.2;+0.35;28;3;13;12;23;41;0,56097561;22;0,785714286;+0.7;+0.07;123;.597;22.20
Eibar;28;9;7;12;29;33;0,878787879;34;1,214285714;+0.5;+0.06;28;6;9;13;25;41;0,609756098;27;0,964285714;-4.4;-0.49;69;.714;38.90
Elche;9;1;5;3;8;13;0,615384615;8;0,888888889;-9.7;-1.08;7;2;2;3;6;8;0,75;8;1,142857143;-6.3;-0.90;37.30;.760;25
Getafe;28;11;8;9;33;28;1,178571429;41;1,464285714;-1.1;-0.12;27;8;9;10;25;27;0,925925926;33;1,222222222;-2.4;-0.30;187;.696;35.30
Granada;29;16;5;8;42;29;1,448275862;53;1,827586207;+2.0;+0.20;27;8;6;13;31;45;0,688888889;30;1,111111111;-7.2;-0.89;110.10;.636;33.30
Huesca;9;1;4;4;5;10;0,5;7;0,777777778;-4.2;-0.47;9;0;5;4;9;18;0,5;5;0,555555556;-3.4;-0.38;47.30;.625;16.70
Levante;27;13;8;6;41;29;1,413793103;47;1,740740741;0.0;0.00;28;6;5;17;29;48;0,604166667;23;0,821428571;-3.4;-0.38;105;.694;mai.90
Osasuna;28;9;10;9;34;42;0,80952381;37;1,321428571;-6.4;-0.71;28;7;9;12;27;39;0,692307692;30;1,071428571;-2.6;-0.29;80.50;.667;27.80
Real Madrid;27;21;4;2;55;16;3,4375;67;2,481481481;+3.4;+0.42;29;16;9;4;45;24;1,875;57;1,965517241;+6.0;+0.60;782;.813;44.40
Real Sociedad;28;12;8;8;45;27;1,666666667;44;1,571428571;+5.3;+0.59;29;12;6;11;40;37;1,081081081;42;1,448275862;+7.0;+0.70;3489.90;.702;42.10
Sevilla;27;15;8;4;38;21;1,80952381;53;1,962962963;+5.9;+0.74;28;13;8;7;37;28;1,321428571;47;1,678571429;+0.4;+0.04;346.90;.731;35.30
Valencia;28;13;11;4;43;29;1,482758621;50;1,785714286;-4.3;-0.48;28;5;7;16;27;49;0,551020408;22;0,785714286;-1.4;-0.16;233.20;.735;16.70
Valladolid;28;7;13;8;27;29;0,931034483;34;1,214285714;-4.8;-0.53;28;6;8;14;21;39;0,538461538;26;0,928571429;-5.4;-0.60;62.20;.737;11.oct
Villarreal;28;14;9;5;51;32;1,59375;51;1,821428571;+9.2;+1.02;28;12;5;11;38;34;1,117647059;41;1,464285714;+1.3;+0.14;252.30;.708;27.80
