;Mph;Wh;Dh;Lh;Gfh;Gah;Gdiffh;Ptsh;Pts/mph;xGDiffh;xGDiff/90h;Mpa;Wa;Da;La;Gfa;Gaa;Gdiffa;Ptsa;Pts/mpa;xGDiffa;xGDiff/90a;Valoarelot;Save%;Cs%
Angers;25;12;4;9;29;26;1,115384615;40;1,6;-3.6;-0.36;23;8;5;10;24;38;0,631578947;29;1,260869565;+0.8;+0.08;80.20;.638;20.0
Bordeaux;23;8;8;7;29;20;1,45;32;1,391304348;-0.2;-0.02;24;8;7;9;31;35;0,885714286;31;1,291666667;-8.0;-0.89;91.55;.725;52.6
Brest;23;12;7;4;40;25;1,6;43;1,869565217;+2.0;+0.23;24;4;5;15;24;46;0,52173913;17;0,708333333;-4.2;-0.42;84.23;.694;21.10
Dijon;24;6;11;7;23;25;0,92;29;1,208333333;-8.2;-0.82;23;3;6;14;16;38;0,421052632;15;0,652173913;-13.8;-1.53;69.78;.744;21.1
Lens;9;4;2;3;15;14;1,071428571;14;1,555555556;+4.0;+0.44;9;4;1;4;13;14;0,928571429;13;1,444444444;+1.5;+0.16;77.55;.631;27.80
Lille;25;17;5;3;42;15;2,8;56;2,24;+7.4;+0.74;22;9;5;8;26;26;1;32;1,454545455;+5.2;+0.58;280.80;.755;47.4
Lorient;9;2;1;6;11;17;0,647058824;7;0,777777778;-0.1;-0.01;10;1;2;7;9;21;0,428571429;5;0,5;-2.6;-0.26;;.613;10.5
Lyon;22;11;7;4;39;15;2,6;40;1,818181818;+17.8;+1.98;25;11;7;7;42;30;1,4;40;1,6;+8.3;+0.83;323.25;.758;31.6
Marseille;23;12;7;4;36;25;1,44;43;1,869565217;+6.5;+0.72;23;13;6;4;31;22;1,409090909;45;1,956521739;-2.7;-0.30;229.65;.719;27.8
Metz;24;9;7;8;30;27;1,111111111;34;1,416666667;-1.0;-0.10;23;5;10;8;17;26;0,653846154;25;1,086956522;0.0;0.00;76.45;.786;26.3
Monaco;24;14;5;5;52;35;1,485714286;47;1,958333333;+11.8;+1.18;24;8;5;11;31;38;0,815789474;29;1,208333333;+3.3;+0.33;308.50;.597;25
Montpellier;25;14;3;8;45;33;1,363636364;45;1,8;-7.6;-0.69;23;5;8;10;23;36;0,638888889;23;1;-3.2;-0.36;102.85;.702;15
Nantes;23;8;7;8;21;25;0,84;31;1,347826087;+0.5;+0.05;24;6;5;13;26;37;0,702702703;23;0,958333333;-6.4;-0.64;100.90;.721;15.8
Nice;24;10;6;8;38;38;1;36;1,5;-6.3;-0.70;22;7;7;8;25;25;1;28;1,272727273;+4.9;+0.55;209.35;.759;27.8
Nîmes;24;7;3;14;26;38;0,684210526;24;1;-10.9;-1.09;24;4;6;14;19;47;0,404255319;18;0,75;-13.2;-1.32;59.15;.670;20
Paris S-G;24;19;2;3;69;16;4,3125;59;2,458333333;+11.7;+1.17;23;16;3;4;50;19;2,631578947;51;2,217391304;+9.9;+0.99;870;.825;60
Reims;23;8;9;6;21;18;1,166666667;33;1,434782609;-8.4;-0.94;24;7;8;9;32;32;1;29;1,208333333;-4.6;-0.46;95.65;.662;15.8
Rennes;24;14;4;6;39;27;1,444444444;46;1,916666667;+4.3;+0.43;23;10;7;6;27;18;1,5;37;1,608695652;+3.0;+0.33;253.70;.682;26.3
Saint-Étienne;23;6;10;7;24;29;0,827586207;28;1,217391304;+1.5;+0.16;24;6;3;15;25;45;0,555555556;21;0,875;-1.4;-0.14;89.05;.600;26.3
Strasbourg;22;9;5;8;33;28;1,178571429;32;1,454545455;+0.4;+0.05;24;8;2;14;27;36;0,75;26;1,083333333;+1.7;+0.17;107.70;.646;31.6
