;Mph;Wh;Dh;Lh;Gfh;Gah;Gdiffh;Ptsh;Pts/mph;xGDiffh;xGDiff/90h;Mpa;Wa;Da;La;Gfa;Gaa;Gdiffa;Ptsa;Pts/mpa;xGDiffa;xGDiff/90a;Valoarelot;Save%;Cs%
Arsenal;28;13;8;7;45;35;1,285714286;47;1,678571429;-1.6;-0.18;28;8;9;11;31;32;0,96875;33;1,178571429;+2.7;+0.30;597,7;.683;33.3
Aston Villa;26;10;4;12;37;41;0,902439024;34;1,307692308;+5.2;+0.74;27;7;6;14;33;42;0,785714286;27;1;+4.5;+0.56;294,62;.773;53.3
Brighton;28;5;12;11;30;42;0,714285714;27;0,964285714;+6.8;+0.75;29;7;10;12;31;41;0,756097561;31;1,068965517;-3.7;-0.41;218,13;.596;21.10
Burnley;27;11;5;11;29;31;0,935483871;38;1,407407407;-1.4;-0.17;28;8;8;12;23;41;0,56097561;32;1,142857143;-7.0;-0.88;143,72;.759;35.3
Chelsea;28;15;6;7;49;27;1,814814815;51;1,821428571;+6.7;+0.74;28;13;5;10;53;48;1,104166667;44;1,571428571;+2.9;+0.37;793,43;.635;38.9
Crystal Palace;28;9;8;11;26;35;0,742857143;35;1,25;-5.4;-0.60;28;8;7;13;27;44;0,613636364;31;1,107142857;-1.8;-0.20;212,15;.675;16.70
Everton;27;12;8;7;39;33;1,181818182;44;1,62962963;-0.7;-0.09;28;11;4;13;33;44;0,75;37;1,321428571;+1.1;+0.12;486,79;.712;23.50
Fulham;9;1;3;5;6;13;0,461538462;6;0,666666667;-3.0;-0.37;8;1;3;4;8;12;0,666666667;6;0,75;-3.6;-0.45;206,74;.756;17.60
Leeds United;9;3;2;4;13;14;0,928571429;11;1,222222222;+2.7;+0.34;9;4;0;5;17;20;0,85;12;1,333333333;-4.8;-0.53;177,37;.696;33.3
Leicester City;28;15;5;8;48;29;1,655172414;50;1,785714286;-2.2;-0.28;28;14;5;9;52;33;1,575757576;47;1,678571429;+7.4;+0.82;443,65;.722;33.3
Liverpool;27;25;2;0;73;24;3,041666667;77;2,851851852;+11.0;+1.37;28;16;7;5;49;30;1,633333333;55;1,964285714;+2.2;+0.24;1002;.667;29.40
Manchester City;27;20;4;3;72;20;3,6;64;2,37037037;+9.7;+1.21;27;15;4;8;55;28;1,964285714;49;1,814814815;+4.9;+0.61;1007;.743;50.0
Manchester Utd;28;14;9;5;52;30;1,733333333;51;1,821428571;+1.2;+0.13;27;15;6;6;48;30;1,6;51;1,888888889;+5.0;+0.62;756,5;.655;29.40
Newcastle Utd;28;9;10;9;30;36;0,833333333;37;1,321428571;-1.9;-0.21;27;7;5;15;26;49;0,530612245;26;0,962962963;-6.0;-0.75;257,16;.706;17.60
Sheffield Utd;9;1;1;7;5;12;0,416666667;4;0,444444444;-2.8;-0.31;9;0;1;8;4;17;0,235294118;1;0,111111111;-5.6;-0.62;166,39;.685;5.60
Southampton;28;15;4;9;38;24;1,583333333;49;1,75;-1.0;-0.11;28;7;13;8;27;36;0,75;34;1,214285714;-2.3;-0.29;207,07;.721;44.4
Tottenham;28;10;6;12;35;44;0,795454545;36;1,285714286;+2.9;+0.32;27;13;7;7;46;32;1,4375;46;1,703703704;+3.5;+0.44;698,52;.818;35.3
West Brom;28;13;5;10;41;41;1;44;1,571428571;-11.8;-1.31;28;5;11;12;34;47;0,723404255;26;0,928571429;-10.3;-1.29;100,7;.667;11.10
West Ham;28;10;7;11;43;43;1;37;1,321428571;-2.5;-0.32;28;8;7;13;31;40;0,775;31;1,107142857;+2.6;+0.29;272,13;.725;38.9
Wolves;29;11;10;8;39;32;1,21875;43;1,482758621;+1.4;+0.16;28;10;8;10;33;37;0,891891892;38;1,357142857;-4.9;-0.54;366,93;.603;21.10
