;Mph;Wh;Dh;Lh;Gfh;Gah;Gdiffh;Ptsh;Pts/mph;xGDiffh;xGDiff/90h;Mpa;Wa;Da;La;Gfa;Gaa;Gdiffa;Ptsa;Pts/mpa;xGDiffa;xGDiff/90a;Valoarelot;Save%;Cs%
Atalanta;27;17;3;7;73;36;2,027777778;54;2;+9.5;+1.19;27;15;10;2;65;34;1,911764706;55;2,037037037;+4.5;+0.56;375;.618;18.8
Benevento;9;2;2;5;9;18;0,5;8;0,888888889;-6.4;-0.72;8;4;1;3;11;12;0,916666667;13;1,625;-2.6;-0.33;45.43;.635;29.4
Bologna;28;9;10;9;42;46;0,913043478;37;1,321428571;-1.6;-0.18;28;8;6;14;34;50;0,68;30;1,071428571;-1.3;-0.15;143.8;.633;16.7
Cagliari;27;9;6;12;44;44;1;33;1,222222222;-4.7;-0.58;28;5;11;12;31;46;0,673913043;26;0,928571429;-10.5;-1.17;187.15;.702;11.8
Crotone;8;2;1;5;9;16;0,5625;7;0,875;-8.4;-1.05;9;0;2;7;8;24;0,333333333;2;0,222222222;-5.7;-0.63;40.01;.593;11.8
Fiorentina;28;8;12;8;31;30;1,033333333;36;1,285714286;+3.1;+0.35;27;8;7;12;38;41;0,926829268;31;1,148148148;-5.5;-0.69;188.90;.688;29.4
Genoa;28;9;3;16;37;47;0,787234043;30;1,071428571;-3.8;-0.43;27;4;11;12;28;56;0,5;23;0,851851852;-4.8;-0.60;102.50;.662;11.8
Hellas Verona;28;13;7;8;41;34;1,205882353;46;1,642857143;+2.1;+0.23;28;6;12;10;28;34;0,823529412;30;1,071428571;-5.0;-0.56;135.38;.776;22.20
Inter;27;17;7;3;63;30;2,1;58;2,148148148;+5.6;+0.69;28;18;7;3;61;29;2,103448276;61;2,178571429;+9.4;+1.05;607.30;.655;17.60
Juventus;27;21;4;2;62;25;2,48;67;2,481481481;+10.3;+1.28;27;14;7;6;49;34;1,441176471;49;1,814814815;+8.0;+0.99;690.90;.720;18.80
Lazio;28;18;5;5;60;30;2;59;2,107142857;-0.5;-0.05;28;15;5;8;49;37;1,324324324;50;1,785714286;+1.5;+0.16;357;.714;27.80
Milan;28;14;9;5;51;32;1,59375;51;1,821428571;+10.1;+1.12;27;17;4;6;49;33;1,484848485;55;2,037037037;+4.1;+0.51;489.3;.726;35.30
Napoli;27;14;4;9;50;34;1,470588235;46;1,703703704;+6.1;+0.77;27;14;5;8;45;32;1,40625;47;1,740740741;+7.7;+0.96;587.50;.705;31.30
Parma;28;8;6;14;29;37;0,783783784;30;1,071428571;-3.4;-0.37;27;8;7;12;40;53;0,754716981;31;1,148148148;-8.7;-1.09;113.35;.641;23.50
Roma;28;16;7;5;57;36;1,583333333;55;1,964285714;+13.4;+1.49;28;15;4;9;57;44;1,295454545;49;1,75;+3.1;+0.34;356.45;.657;27.80
Sampdoria;28;10;5;13;42;44;0,954545455;35;1,25;-1.9;-0.21;28;9;3;16;34;50;0,68;30;1,071428571;-6.8;-0.76;103.30;.716;5.60
Sassuolo;27;11;6;10;56;44;1,272727273;39;1,444444444;-1.2;-0.15;28;11;8;9;43;45;0,955555556;41;1,464285714;-4.3;-0.48;216.25;.684;29.40
Spezia;9;1;3;5;10;18;0,555555556;6;0,666666667;-3.7;-0.41;9;3;3;3;13;14;0,928571429;12;1,333333333;-8.8;-0.98;56.95;.630;22.20
Torino;28;7;9;12;36;48;0,75;30;1,071428571;+1.4;+0.16;28;6;5;17;36;55;0,654545455;23;0,821428571;-6.2;-0.69;141.60;.569;16.70
Udinese;27;8;7;12;24;34;0,705882353;31;1,148148148;+4.4;+0.55;28;8;6;14;32;44;0,727272727;30;1,071428571;+1.7;+0.19;149.70;.603;17.60
