HomeTeam;AwayTeam;FTHG;FTAG;FTR;OddsHome;OddsDraw;OddsAway
Tunisia ; England;1;2;A;8.63;4.24;1.49
Belgium ; Panama;3;0;H;1.22;6.76;17.68
Sweden ; South Korea;1;0;H;2.25;3.05;3.89
Brazil ; Switzerland;1;1;D;1.47;4.4;8.22
Germany ; Mexico;0;1;A;1.5;4.54;7.38
Costa Rica ; Serbia;0;1;A;5.28;3.4;1.85
Croatia ; Nigeria;2;0;H;1.69;3.75;6.01
Peru ; Denmark;0;1;A;3.63;3.1;2.34
Argentina ; Iceland;1;1;D;1.33;5.28;11.4
France ; Australia;2;1;H;1.26;7.13;10.82
Portugal ; Spain;3;3;D;4.38;3.24;2.04
Morocco ; Iran;0;1;A;2.22;2.99;4.16
Egypt ; Uruguay;0;1;A;8.23;4.07;1.52
Russia ; Saudi Arabia;5;0;H;1.46;4.3;8.98
France ; Croatia;4;2;H;2.15;3.07;4.22
Belgium ; England;2;0;H;2.2;3.79;3.24
Croatia ; England;2;1 ;A;3.88;2.99;2.29
France ; Belgium;1;0;H;2.61;3.11;3.08
Russia ; Croatia;2;3 ;A;4.11;3.15;2.13
Sweden ; England;0;2;A;5.2;3.36;1.86
Brazil ; Belgium;1;2;A;2.13;3.43;3.75
Uruguay ; France;0;2;A;4.73;3.08;2.02
Colombia ; England;1;2 ;A;4.06;3.12;2.16
Sweden ; Switzerland;1;0;H;3.41;2.94;2.52
Belgium ; Japan;3;2;H;1.42;4.73;8.92
Brazil ; Mexico;2;0;H;1.49;4.4;7.64
Croatia ; Denmark;2;1 ;A;1.97;3.23;4.72
Spain ; Russia;1;2 ;A;1.59;4.06;6.39
Uruguay ; Portugal;2;1;H;3.05;2.99;2.75
France ; Argentina;4;3;H;2.45;3.09;3.35
England ; Belgium;0;1;A;2.5;2.84;3.6
Panama ; Tunisia;1;2;A;4.38;3.74;1.86
Japan ; Poland;0;1;A;2.89;3.1;2.75
Senegal ; Colombia;0;1;A;5;3.73;1.78
Serbia ; Brazil;0;2;A;7.44;4.6;1.48
Switzerland ; Costa Rica;2;2;D;1.6;3.66;7.46
Mexico ; Sweden;0;3;A;2.24;3.38;3.5
South Korea ; Germany;2;0;H;19.38;8.13;1.17
Iceland ; Croatia;1;2;A;4.33;3.96;1.83
Nigeria ; Argentina;1;2;A;5.92;5.07;1.5
Australia ; Peru;0;2;A;2.91;3.51;2.5
Denmark ; France;0;0;D;5.36;2.74;2.08
Iran ; Portugal;1;1;D;6.23;4.04;1.61
